time,event,type,missing_in,classification,reason,rule_id
2026-04-22T00:46:42,EtCO2(High Limit); New Numeric Value: 8.4,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:47,FiO2(High Limit); New Numeric Value: 99,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:49,FiO2(Low Limit); New Numeric Value: 23,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:57,FiO2(High Limit); New Numeric Value: 100,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:46:59,FiO2(High Limit); New Numeric Value: Off,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:07,FiCO2(High Limit); New Numeric Value: 0.9,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:09,MAC Age(High Limit); New Numeric Value: Off,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:11,MAC Age(High Limit); New Numeric Value: 2.8,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:14,EtO2(Low Limit); New Numeric Value: 3,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:16,EtO2(High Limit); New Numeric Value: 98,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:18,RR(High Limit); New Numeric Value: 99,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:20,RR(Low Limit); New Numeric Value: 3,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:23,TV(High Limit); New Numeric Value: 940,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:25,TV(Low Limit); New Numeric Value: 3,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:31,EtSev(High Limit); New Numeric Value: 9.8,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:33,EtSev(Low Limit); New Numeric Value: 0.1,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:35,EtIso(Low Limit); New Numeric Value: 0.2,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:38,EtIso(High Limit); New Numeric Value: 6.8,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
